date,part_number,vehicle_type,vehicle_model,warehouse_id,demand_type,demand_qty,shipped_qty,backorder_qty,on_hand_inventory,in_transit_inventory,safety_stock,warehouse_capacity,labor_utilization,promotion_flag,weather_index,fuel_price_index,is_holiday,day_of_week,week_of_year,month
2023-01-05,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,863,65,123,25000,0.5847,0,33.2,3.31,0,4,1,1
2023-01-05,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,826,107,120,25000,0.9963,0,33.2,3.31,0,4,1,1
2023-01-05,PN005,Passenger,Hatch_C,WH_2,Erratic,442,13,429,12,64,90,25000,0.6022,0,33.2,3.31,0,4,1,1
2023-01-05,PN006,SUV,SUV_X,WH_3,Erratic,99,20,79,18,94,93,25000,0.7003,0,33.2,3.31,0,4,1,1
2023-01-05,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,441,51,58,25000,0.9786,0,33.2,3.31,0,4,1,1
2023-01-05,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,561,130,52,25000,0.6321,0,33.2,3.31,0,4,1,1
2023-01-06,PN000,Passenger,Sedan_A,WH_1,Smooth,124,28,96,21,112,120,25000,0.7933,0,33.2,3.31,0,5,1,1
2023-01-06,PN001,SUV,SUV_Y,WH_2,Smooth,105,98,7,309,154,127,25000,0.5614,0,33.2,3.31,0,5,1,1
2023-01-06,PN002,Truck,Truck_T1,WH_3,Smooth,54,50,4,541,120,120,25000,0.6064,0,33.2,3.31,0,5,1,1
2023-01-06,PN003,EV,EV_E2,WH_4,Intermittent,27,25,2,847,56,123,25000,0.5536,0,33.2,3.31,0,5,1,1
2023-01-06,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,841,92,120,25000,1.0,0,33.2,3.31,0,5,1,1
2023-01-06,PN005,Passenger,Hatch_C,WH_2,Erratic,80,10,70,11,55,90,25000,0.5909,0,33.2,3.31,0,5,1,1
2023-01-06,PN006,SUV,SUV_X,WH_3,Erratic,456,15,441,16,81,93,25000,0.6872,0,33.2,3.31,0,5,1,1
2023-01-06,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,448,44,58,25000,0.9998,0,33.2,3.31,0,5,1,1
2023-01-06,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,579,112,52,25000,0.6066,0,33.2,3.31,0,5,1,1
2023-01-07,PN000,Passenger,Sedan_A,WH_1,Smooth,141,19,122,18,96,120,25000,0.8243,0,33.2,3.31,0,6,1,1
2023-01-07,PN001,SUV,SUV_Y,WH_2,Smooth,91,85,6,246,132,127,25000,0.5734,0,33.2,3.31,0,6,1,1
2023-01-07,PN002,Truck,Truck_T1,WH_3,Smooth,49,46,3,512,103,120,25000,0.5943,0,33.2,3.31,0,6,1,1
2023-01-07,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,855,48,123,25000,0.6042,0,33.2,3.31,0,6,1,1
2023-01-07,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,854,79,120,25000,0.9944,0,33.2,3.31,0,6,1,1
2023-01-07,PN005,Passenger,Hatch_C,WH_2,Erratic,564,10,554,9,47,90,25000,0.6473,0,33.2,3.31,0,6,1,1
2023-01-07,PN006,SUV,SUV_X,WH_3,Erratic,128,15,113,13,69,93,25000,0.6738,0,33.2,3.31,0,6,1,1
2023-01-07,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,454,38,58,25000,0.9733,0,33.2,3.31,0,6,1,1
2023-01-07,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,595,96,52,25000,0.5835,0,33.2,3.31,0,6,1,1
2023-01-08,PN000,Passenger,Sedan_A,WH_1,Smooth,140,16,124,16,82,120,25000,0.8302,0,33.2,3.31,0,7,1,1
2023-01-08,PN001,SUV,SUV_Y,WH_2,Smooth,95,89,6,176,113,127,25000,0.6608,0,33.2,3.31,0,7,1,1
2023-01-08,PN002,Truck,Truck_T1,WH_3,Smooth,46,43,3,484,88,120,25000,0.6361,0,33.2,3.31,0,7,1,1
2023-01-08,PN003,EV,EV_E2,WH_4,Intermittent,18,16,2,846,41,123,25000,0.5628,0,33.2,3.31,0,7,1,1
2023-01-08,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,865,68,120,25000,0.9417,0,33.2,3.31,0,7,1,1
2023-01-08,PN005,Passenger,Hatch_C,WH_2,Erratic,111,7,104,9,40,90,25000,0.6116,0,33.2,3.31,0,7,1,1
2023-01-08,PN006,SUV,SUV_X,WH_3,Erratic,322,11,311,12,59,93,25000,0.7272,0,33.2,3.31,0,7,1,1
2023-01-08,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,460,32,58,25000,0.9507,0,33.2,3.31,0,7,1,1
2023-01-08,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,609,82,52,25000,0.599,0,33.2,3.31,0,7,1,1
2023-01-09,PN000,Passenger,Sedan_A,WH_1,Smooth,133,14,119,14,70,120,25000,0.8195,0,33.2,3.31,0,1,2,1
2023-01-09,PN001,SUV,SUV_Y,WH_2,Smooth,103,96,7,96,97,127,25000,0.6359,0,33.2,3.31,0,1,2,1
2023-01-09,PN002,Truck,Truck_T1,WH_3,Smooth,52,48,4,448,76,120,25000,0.6224,0,33.2,3.31,0,1,2,1
2023-01-09,PN003,EV,EV_E2,WH_4,Intermittent,21,19,2,833,35,123,25000,0.5674,0,33.2,3.31,0,1,2,1
2023-01-09,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,875,58,120,25000,0.9939,0,33.2,3.31,0,1,2,1
2023-01-09,PN005,Passenger,Hatch_C,WH_2,Erratic,190,7,183,7,35,90,25000,0.6327,0,33.2,3.31,0,1,2,1
2023-01-09,PN006,SUV,SUV_X,WH_3,Erratic,140,10,130,10,51,93,25000,0.6847,0,33.2,3.31,0,1,2,1
2023-01-09,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,464,28,58,25000,0.9795,0,33.2,3.31,0,1,2,1
2023-01-09,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,621,70,52,25000,0.6101,0,33.2,3.31,0,1,2,1
2023-01-10,PN000,Passenger,Sedan_A,WH_1,Smooth,143,12,131,12,60,120,25000,0.8491,0,33.2,3.31,0,2,2,1
2023-01-10,PN001,SUV,SUV_Y,WH_2,Smooth,83,78,5,32,83,127,25000,0.615,0,33.2,3.31,0,2,2,1
2023-01-10,PN002,Truck,Truck_T1,WH_3,Smooth,50,47,3,412,65,120,25000,0.6494,0,33.2,3.31,0,2,2,1
2023-01-10,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,838,30,123,25000,0.5541,0,33.2,3.31,0,2,2,1
2023-01-10,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,39,36,3,847,50,120,25000,1.0,0,33.2,3.31,0,2,2,1
2023-01-10,PN005,Passenger,Hatch_C,WH_2,Erratic,115,6,109,6,30,90,25000,0.6308,0,33.2,3.31,0,2,2,1
2023-01-10,PN006,SUV,SUV_X,WH_3,Erratic,103,9,94,8,44,93,25000,0.7041,0,33.2,3.31,0,2,2,1
2023-01-10,PN007,Truck,Truck_T2,WH_4,Lumpy,58,54,4,414,24,58,25000,0.985,0,33.2,3.31,0,2,2,1
2023-01-10,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,631,60,52,25000,0.6074,0,33.2,3.31,0,2,2,1
2023-01-11,PN000,Passenger,Sedan_A,WH_1,Smooth,137,10,127,10,52,120,25000,0.8546,0,33.2,3.31,0,3,2,1
2023-01-11,PN001,SUV,SUV_Y,WH_2,Smooth,86,29,57,15,71,127,25000,0.6348,0,33.2,3.31,0,3,2,1
2023-01-11,PN002,Truck,Truck_T1,WH_3,Smooth,46,43,3,378,56,120,25000,0.6499,0,33.2,3.31,0,3,2,1
2023-01-11,PN003,EV,EV_E2,WH_4,Intermittent,15,14,1,828,26,123,25000,0.5908,0,33.2,3.31,0,3,2,1
2023-01-11,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,48,45,3,809,43,120,25000,1.0,0,33.2,3.31,0,3,2,1
2023-01-11,PN005,Passenger,Hatch_C,WH_2,Erratic,78,5,73,6,25,90,25000,0.6165,0,33.2,3.31,0,3,2,1
2023-01-11,PN006,SUV,SUV_X,WH_3,Erratic,130,7,123,8,37,93,25000,0.7236,0,33.2,3.31,0,3,2,1
2023-01-11,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,418,20,58,25000,0.9514,0,33.2,3.31,0,3,2,1
2023-01-11,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,639,52,52,25000,0.5951,0,33.2,3.31,0,3,2,1
2023-01-12,PN000,Passenger,Sedan_A,WH_1,Smooth,124,9,115,9,44,120,25000,0.8177,0,33.2,3.31,0,4,2,1
2023-01-12,PN001,SUV,SUV_Y,WH_2,Smooth,83,13,70,12,61,127,25000,0.6309,0,33.2,3.31,0,4,2,1
2023-01-12,PN002,Truck,Truck_T1,WH_3,Smooth,63,59,4,327,48,120,25000,0.6033,0,33.2,3.31,0,4,2,1
2023-01-12,PN003,EV,EV_E2,WH_4,Intermittent,28,26,2,806,22,123,25000,0.5652,0,33.2,3.31,0,4,2,1
2023-01-12,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,816,36,120,25000,0.9944,0,33.2,3.31,0,4,2,1
2023-01-12,PN005,Passenger,Hatch_C,WH_2,Erratic,606,4,602,5,22,90,25000,0.6415,0,33.2,3.31,0,4,2,1
2023-01-12,PN006,SUV,SUV_X,WH_3,Erratic,86,6,80,7,32,93,25000,0.7132,0,33.2,3.31,0,4,2,1
2023-01-12,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,421,17,58,25000,1.0,0,33.2,3.31,0,4,2,1
2023-01-12,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,647,44,52,25000,0.6148,0,33.2,3.31,0,4,2,1
2023-01-13,PN000,Passenger,Sedan_A,WH_1,Smooth,136,7,129,8,38,120,25000,0.7917,0,33.2,3.31,0,5,2,1
2023-01-13,PN001,SUV,SUV_Y,WH_2,Smooth,89,11,78,10,52,127,25000,0.5803,0,33.2,3.31,0,5,2,1
2023-01-13,PN002,Truck,Truck_T1,WH_3,Smooth,62,58,4,276,41,120,25000,0.6199,0,33.2,3.31,0,5,2,1
2023-01-13,PN003,EV,EV_E2,WH_4,Intermittent,29,27,2,782,19,123,25000,0.5567,0,33.2,3.31,0,5,2,1
2023-01-13,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,821,31,120,25000,1.0,0,33.2,3.31,0,5,2,1
2023-01-13,PN005,Passenger,Hatch_C,WH_2,Erratic,539,4,535,4,19,90,25000,0.6543,0,33.2,3.31,0,5,2,1
2023-01-13,PN006,SUV,SUV_X,WH_3,Erratic,41,5,36,7,27,93,25000,0.6869,0,33.2,3.31,0,5,2,1
2023-01-13,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,423,15,58,25000,1.0,0,33.2,3.31,0,5,2,1
2023-01-13,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,653,38,52,25000,0.5917,0,33.2,3.31,0,5,2,1
2023-01-14,PN000,Passenger,Sedan_A,WH_1,Smooth,123,7,116,6,33,120,25000,0.804,0,33.2,3.31,0,6,2,1
2023-01-14,PN001,SUV,SUV_Y,WH_2,Smooth,97,8,89,9,45,127,25000,0.619,0,33.2,3.31,0,6,2,1
2023-01-14,PN002,Truck,Truck_T1,WH_3,Smooth,58,54,4,228,35,120,25000,0.6442,0,33.2,3.31,0,6,2,1
2023-01-14,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,785,16,123,25000,0.601,0,33.2,3.31,0,6,2,1
2023-01-14,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,825,27,120,25000,1.0,0,33.2,3.31,0,6,2,1
2023-01-14,PN005,Passenger,Hatch_C,WH_2,Erratic,477,3,474,4,16,90,25000,0.6663,0,33.2,3.31,0,6,2,1
2023-01-14,PN006,SUV,SUV_X,WH_3,Erratic,416,5,411,5,24,93,25000,0.6828,0,33.2,3.31,0,6,2,1
2023-01-14,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,425,13,58,25000,0.9896,0,33.2,3.31,0,6,2,1
2023-01-14,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,658,33,52,25000,0.6245,0,33.2,3.31,0,6,2,1
2023-01-15,PN000,Passenger,Sedan_A,WH_1,Smooth,141,5,136,6,28,120,25000,0.8367,0,33.2,3.31,0,7,2,1
2023-01-15,PN001,SUV,SUV_Y,WH_2,Smooth,98,8,90,8,38,127,25000,0.5729,0,33.2,3.31,0,7,2,1
2023-01-15,PN002,Truck,Truck_T1,WH_3,Smooth,46,43,3,190,30,120,25000,0.6082,0,33.2,3.31,0,7,2,1
2023-01-15,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,787,14,123,25000,0.592,0,33.2,3.31,0,7,2,1
2023-01-15,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,42,39,3,790,23,120,25000,0.9394,0,33.2,3.31,0,7,2,1
2023-01-15,PN005,Passenger,Hatch_C,WH_2,Erratic,158,2,156,4,14,90,25000,0.6551,0,33.2,3.31,0,7,2,1
2023-01-15,PN006,SUV,SUV_X,WH_3,Erratic,128,4,124,5,20,93,25000,0.7173,0,33.2,3.31,0,7,2,1
2023-01-15,PN007,Truck,Truck_T2,WH_4,Lumpy,33,31,2,396,11,58,25000,0.9597,0,33.2,3.31,0,7,2,1
2023-01-15,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,663,28,52,25000,0.5978,0,33.2,3.31,0,7,2,1
2023-01-16,PN000,Passenger,Sedan_A,WH_1,Smooth,151,5,146,5,24,120,25000,0.7849,0,33.2,3.31,1,1,3,1
2023-01-16,PN001,SUV,SUV_Y,WH_2,Smooth,110,6,104,7,33,127,25000,0.5958,0,33.2,3.31,1,1,3,1
2023-01-16,PN002,Truck,Truck_T1,WH_3,Smooth,63,59,4,135,26,120,25000,0.6165,0,33.2,3.31,1,1,3,1
2023-01-16,PN003,EV,EV_E2,WH_4,Intermittent,23,21,2,768,12,123,25000,0.5618,0,33.2,3.31,1,1,3,1
2023-01-16,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,793,20,120,25000,0.9777,0,33.2,3.31,1,1,3,1
2023-01-16,PN005,Passenger,Hatch_C,WH_2,Erratic,509,3,506,3,12,90,25000,0.6399,0,33.2,3.31,1,1,3,1
2023-01-16,PN006,SUV,SUV_X,WH_3,Erratic,371,3,368,5,17,93,25000,0.6905,0,33.2,3.31,1,1,3,1
2023-01-16,PN007,Truck,Truck_T2,WH_4,Lumpy,7,6,1,392,9,58,25000,1.0,0,33.2,3.31,1,1,3,1
2023-01-16,PN008,EV,EV_E1,WH_1,Lumpy,738,623,115,44,24,52,25000,0.5985,0,33.2,3.31,1,1,3,1
2023-01-17,PN000,Passenger,Sedan_A,WH_1,Smooth,130,4,126,5,20,120,25000,0.8133,0,33.2,3.31,0,2,3,1
2023-01-17,PN001,SUV,SUV_Y,WH_2,Smooth,85,6,79,6,28,127,25000,0.5947,0,33.2,3.31,0,2,3,1
2023-01-17,PN002,Truck,Truck_T1,WH_3,Smooth,55,51,4,88,22,120,25000,0.6146,0,33.2,3.31,0,2,3,1
2023-01-17,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,770,10,123,25000,0.5414,0,33.2,3.31,0,2,3,1
2023-01-17,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,796,17,120,25000,0.961,0,33.2,3.31,0,2,3,1
2023-01-17,PN005,Passenger,Hatch_C,WH_2,Erratic,348,2,346,3,10,90,25000,0.6211,0,33.2,3.31,0,2,3,1
2023-01-17,PN006,SUV,SUV_X,WH_3,Erratic,117,3,114,4,15,93,25000,0.6998,0,33.2,3.31,0,2,3,1
2023-01-17,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,393,8,58,25000,0.9928,0,33.2,3.31,0,2,3,1
2023-01-17,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,48,20,52,25000,0.5707,0,33.2,3.31,0,2,3,1
2023-01-18,PN000,Passenger,Sedan_A,WH_1,Smooth,126,3,123,4,18,120,25000,0.7954,0,33.2,3.31,0,3,3,1
2023-01-18,PN001,SUV,SUV_Y,WH_2,Smooth,78,4,74,6,24,127,25000,0.5789,0,33.2,3.31,0,3,3,1
2023-01-18,PN002,Truck,Truck_T1,WH_3,Smooth,54,50,4,41,19,120,25000,0.6211,0,33.2,3.31,0,3,3,1
2023-01-18,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,771,9,123,25000,0.597,0,33.2,3.31,0,3,3,1
2023-01-18,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,799,14,120,25000,0.9835,0,33.2,3.31,0,3,3,1
2023-01-18,PN005,Passenger,Hatch_C,WH_2,Erratic,608,1,607,3,9,90,25000,0.6443,0,33.2,3.31,0,3,3,1
2023-01-18,PN006,SUV,SUV_X,WH_3,Erratic,91,3,88,3,13,93,25000,0.7253,0,33.2,3.31,0,3,3,1
2023-01-18,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,394,7,58,25000,0.9804,0,33.2,3.31,0,3,3,1
2023-01-18,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,50,18,52,25000,0.5912,0,33.2,3.31,0,3,3,1
2023-01-19,PN000,Passenger,Sedan_A,WH_1,Smooth,144,3,141,4,15,120,25000,0.8096,0,33.2,3.31,0,4,3,1
2023-01-19,PN001,SUV,SUV_Y,WH_2,Smooth,94,4,90,5,21,127,25000,0.5897,0,33.2,3.31,0,4,3,1
2023-01-19,PN002,Truck,Truck_T1,WH_3,Smooth,59,38,21,6,16,120,25000,0.6348,0,33.2,3.31,0,4,3,1
2023-01-19,PN003,EV,EV_E2,WH_4,Intermittent,17,15,2,757,8,123,25000,0.5858,0,33.2,3.31,0,4,3,1
2023-01-19,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,801,12,120,25000,0.9651,0,33.2,3.31,0,4,3,1
2023-01-19,PN005,Passenger,Hatch_C,WH_2,Erratic,64,2,62,3,7,90,25000,0.6488,0,33.2,3.31,0,4,3,1
2023-01-19,PN006,SUV,SUV_X,WH_3,Erratic,75,2,73,3,11,93,25000,0.6938,0,33.2,3.31,0,4,3,1
2023-01-19,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,395,6,58,25000,0.9821,0,33.2,3.31,0,4,3,1
2023-01-19,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,53,15,52,25000,0.623,0,33.2,3.31,0,4,3,1
2023-01-20,PN000,Passenger,Sedan_A,WH_1,Smooth,131,2,129,4,13,120,25000,0.816,0,33.2,3.31,0,5,3,1
2023-01-20,PN001,SUV,SUV_Y,WH_2,Smooth,91,4,87,4,18,127,25000,0.6002,0,33.2,3.31,0,5,3,1
2023-01-20,PN002,Truck,Truck_T1,WH_3,Smooth,55,4,51,4,14,120,25000,0.645,0,33.2,3.31,0,5,3,1
2023-01-20,PN003,EV,EV_E2,WH_4,Intermittent,21,19,2,740,6,123,25000,0.558,0,33.2,3.31,0,5,3,1
2023-01-20,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,802,11,120,25000,0.966,0,33.2,3.31,0,5,3,1
2023-01-20,PN005,Passenger,Hatch_C,WH_2,Erratic,103,1,102,3,6,90,25000,0.5814,0,33.2,3.31,0,5,3,1
2023-01-20,PN006,SUV,SUV_X,WH_3,Erratic,122,2,120,3,9,93,25000,0.6947,0,33.2,3.31,0,5,3,1
2023-01-20,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,396,5,58,25000,0.9548,0,33.2,3.31,0,5,3,1
2023-01-20,PN008,EV,EV_E1,WH_1,Lumpy,489,48,441,7,13,52,25000,0.6144,0,33.2,3.31,0,5,3,1
2023-01-21,PN000,Passenger,Sedan_A,WH_1,Smooth,128,3,125,3,11,120,25000,0.767,0,33.2,3.31,0,6,3,1
2023-01-21,PN001,SUV,SUV_Y,WH_2,Smooth,97,3,94,4,15,127,25000,0.5933,0,33.2,3.31,0,6,3,1
2023-01-21,PN002,Truck,Truck_T1,WH_3,Smooth,56,3,53,3,12,120,25000,0.6358,0,33.2,3.31,0,6,3,1
2023-01-21,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,740,6,123,25000,0.5549,0,33.2,3.31,0,6,3,1
2023-01-21,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,804,9,120,25000,1.0,0,33.2,3.31,0,6,3,1
2023-01-21,PN005,Passenger,Hatch_C,WH_2,Erratic,164,1,163,3,5,90,25000,0.6341,0,33.2,3.31,0,6,3,1
2023-01-21,PN006,SUV,SUV_X,WH_3,Erratic,118,1,117,3,8,93,25000,0.6955,0,33.2,3.31,0,6,3,1
2023-01-21,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,397,4,58,25000,0.9831,0,33.2,3.31,0,6,3,1
2023-01-21,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,9,11,52,25000,0.6255,0,33.2,3.31,0,6,3,1
2023-01-22,PN000,Passenger,Sedan_A,WH_1,Smooth,129,1,128,4,9,120,25000,0.8083,0,33.2,3.31,0,7,3,1
2023-01-22,PN001,SUV,SUV_Y,WH_2,Smooth,99,2,97,4,13,127,25000,0.59,0,33.2,3.31,0,7,3,1
2023-01-22,PN002,Truck,Truck_T1,WH_3,Smooth,55,2,53,3,10,120,25000,0.6172,0,33.2,3.31,0,7,3,1
2023-01-22,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,741,5,123,25000,0.5882,0,33.2,3.31,0,7,3,1
2023-01-22,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,805,8,120,25000,0.972,0,33.2,3.31,0,7,3,1
2023-01-22,PN005,Passenger,Hatch_C,WH_2,Erratic,122,1,121,2,5,90,25000,0.6417,0,33.2,3.31,0,7,3,1
